feature,importance
InternetService,0.9469346389319949
tenure,0.831949253996098
MonthlyCharges,0.6540182108205959
Contract,0.6155012571245023
TotalCharges,0.3695455467163646
StreamingMovies,0.2406804826760606
ServiceCount,0.22485137186575935
StreamingTV,0.21732952504117006
Payment_Electronic check,0.19425964804520685
PaperlessBilling,0.1667137601063604
OnlineSecurity,0.16488711608613393
TenureGroup,0.14850633325861615
MultipleLines,0.14846122701574982
TechSupport,0.13572204048031267
HasSupportServices,0.1120354401403584
Dependents,0.09655939687661613
OnlineBackup,0.0830766548053368
IsStableCustomer,0.0662431913786047
PhoneService,0.06015488054741579
SeniorCitizen,0.05253388178046781
DeviceProtection,0.04942737957184467
Payment_Mailed check,0.03456048269176671
MonthlyChargeTier,0.01866154493501755
PricePerService,0.01681020959563698
gender,0.0155589262691545
NewCustomerHighCharge,0.015185869530530293
Partner,0.009733038281231409
SeniorWithoutSupport,0.0011979732328291405
Payment_Credit card (automatic),0.0011928969811319796
